--- When using SR data,please cite us and provide a link and/or a mention.,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Better
Caleb Martin\martica02,SF,25,53,3,818,5.7,15.3,1.9,7.5,3.9,7.8,2.4,3.8,1.9,6.6,4,2.2,0.7,2,3.7,15.8,,99,112,0
Cam Reddish\reddica01,SF,21,26,21,750,6.3,17.3,2.2,8.3,4.1,9,4.4,5.4,1.4,5.4,2.3,2.2,0.6,2.2,4.5,19.2,,100,113,0
Cameron Johnson\johnsca02,PF,24,60,11,1437,7,16.6,4,11.5,3,5.1,1.7,2,1.1,5.7,3,1.3,0.5,1.4,2.9,19.7,,112,113,0
Cameron Oliver\oliveca01,SF,24,4,0,87,10.3,18,2.2,7.1,8.2,10.9,0.5,2.2,2.7,8.7,2.7,1.1,2.2,1.6,6,23.4,,118,113,0
Cameron Payne\payneca01,PG,26,60,1,1079,8.7,18.1,3.3,7.6,5.4,10.5,2.3,2.6,0.7,5.9,9.9,1.6,0.7,2.7,4.4,23.1,,122,112,0
Cameron Reynolds\reynoca01,SF,25,5,0,40,7.1,21.4,3.6,14.3,3.6,7.1,0,0,2.4,3.6,2.4,0,0,0,2.4,17.8,,96,121,0
Caris LeVert\leverca01,SG,26,47,39,1486,11.5,26,2.7,8.2,8.8,17.8,4.7,5.8,1.1,5.8,7.8,2.1,1,3.3,3.4,30.3,,107,113,1
Carmelo Anthony\anthoca01,PF,36,69,3,1690,9.4,22.4,3.8,9.4,5.6,13,4,4.4,0.9,5.3,3,1.3,1.1,1.8,4.2,26.7,,112,117,0
Carsen Edwards\edwarca01,SG,22,31,1,276,8.3,19.6,3.2,11.2,5.1,8.5,1.9,2.3,0.5,4.1,2.5,1.2,0.2,1.2,4.4,21.8,,108,116,0
Cassius Stanley\stanlca01,SG,21,24,0,93,6.6,21.9,1.5,6.6,5.1,15.2,3.6,4.6,4.1,6.1,0.5,0.5,1,0.5,7.1,18.3,,90,116,0
Cassius Winston\winstca01,PG,22,22,0,98,6.6,15.5,3.8,8,2.8,7.5,2.4,2.8,0,4.2,5.6,0.9,0.5,2.4,3.8,19.3,,111,116,0
Cedi Osman\osmande01,SF,25,59,26,1510,7.2,19.1,3.2,10.6,3.9,8.6,2.5,3.1,1.2,5.3,5.7,1.7,0.3,2.6,3.9,20,,100,116,0
Chandler Hutchison\hutchch01,SF,24,25,1,346,5.2,13.9,1.1,3,4.2,10.9,2.8,3.4,0.8,9.7,2.3,1.6,0.7,2.7,4.4,14.4,,89,111,0
Charlie Brown\brownch02,SG,23,9,1,152,4.1,13.4,1.6,6.6,2.5,6.9,2.8,3.1,0.9,4.4,2.8,1.3,0.6,1.9,5.9,12.5,,88,116,0
Chasson Randle\randlch01,PG,27,41,5,837,5.3,13.8,2.6,7.6,2.8,6.2,2.2,2.8,0.4,4.4,4.3,1.3,0.3,2.7,3.7,15.5,,98,117,0
Chimezie Metu\metuch01,C,23,36,6,488,9,17.6,1.3,3.6,7.7,14,3,4.2,3,8,2.8,1.4,1.8,2.9,5.8,22.2,,109,116,0
Chris Boucher\bouchch01,C,28,60,14,1453,9.6,18.7,3,7.8,6.6,10.8,5.1,6.4,3.9,9.6,2.1,1.2,3.7,1.5,5.5,27.2,,127,109,1
Chris Chiozza\chiozch01,PG,25,22,1,232,6.4,18.3,2.7,8.7,3.7,9.6,2.7,3.5,0.6,4.4,13.5,1.5,1.2,3.3,4,18.3,,108,115,0
Chris Paul\paulch01,PG,35,70,70,2199,9.9,19.7,2.3,5.8,7.6,13.9,3.8,4.1,0.6,6.4,14,2.2,0.4,3.5,3.7,25.8,,124,111,1
Chris Silva\silvach01,PF,24,15,0,92,5.4,8.6,0.5,0.5,4.8,8.1,5.9,8.1,3.8,10.8,3.2,0.5,3.2,5.4,12.9,17.2,,110,109,0
Christian Wood\woodch01,C,25,41,41,1326,11.7,22.8,2.7,7.4,9,15.5,4.5,7.1,2.7,11.4,2.5,1.2,1.7,2.9,3.1,30.7,,111,112,1
Chuma Okeke\okekech01,PF,22,45,19,1133,5.8,13.9,2.1,6.1,3.7,7.9,1.3,1.7,1.8,6,4.3,2.1,0.9,1.6,2.1,15,,107,114,0
CJ Elleby\ellebcj01,SF,20,30,0,192,6.4,16.8,1.8,8.6,4.6,8.1,2.8,3.8,2.8,5.3,2.5,1.5,0.8,1.3,6.9,17.3,,105,117,0
CJ McCollum\mccolcj01,SG,29,47,47,1600,12.3,26.9,5.2,12.8,7.2,14.1,3.3,4.1,0.9,4.7,6.8,1.3,0.6,2,2.7,33.1,,120,118,1
Clint Capela\capelca01,C,26,63,63,1898,10.7,18,0,0,10.7,18,3.4,5.9,7.7,15.7,1.3,1.1,3.3,1.9,3.8,24.8,,125,106,1
Coby White\whiteco01,PG,20,69,54,2156,8.4,20.3,3.7,10.2,4.8,10.1,2.9,3.2,0.6,5.8,7.4,0.9,0.3,3.5,4,23.4,,106,115,0
Cody Martin\martico01,SF,25,52,10,849,4.8,10.8,0.9,3.3,3.9,7.5,1.4,2.5,3,6.3,4.9,2.1,0.7,2.3,3,11.9,,107,113,0
Cody Zeller\zelleco01,C,28,48,21,1005,8.8,15.7,0.2,1.4,8.6,14.4,4.1,5.8,5.8,10.2,4.2,1.3,0.8,2.5,5.9,21.9,,123,112,0
Cole Anthony\anthoco01,PG,20,47,34,1273,8.4,21.1,2.2,6.6,6.2,14.5,4.2,5,1.5,7,7.3,1.1,0.7,4.1,3.7,23.1,,98,116,0
Collin Sexton\sextoco01,SG,22,60,60,2115,12.2,25.8,2.3,6.2,10,19.6,7.3,8.9,1.4,3,6.1,1.4,0.2,3.9,3.7,34,,111,118,1
Cory Joseph\josepco01,PG,29,63,13,1446,6.7,14.2,1.5,4.4,5.2,9.8,2.4,2.9,1.2,4.1,7.1,2,0.6,2.6,4.6,17.3,,112,116,0
Cristiano Felício\feliccr01,C,28,18,0,84,4,7.5,0,1.2,4,6.3,5.2,9.2,5.8,9.2,5.2,2.3,0,2.3,5.8,13.3,,125,110,0
D.J. Augustin\augusdj01,PG,33,57,12,1129,5.6,14.3,3.5,9.1,2.2,5.3,3.5,3.9,0.8,3.1,7.8,1.2,0,2.7,2.3,18.3,,117,117,0
D.J. Wilson\wilsodj01,PF,24,35,1,433,7.4,18.3,3.3,9.5,4.1,8.8,1.9,2.7,2.2,10,2.5,1.2,1.7,2.4,4.8,20,,100,112,0
D'Angelo Russell\russeda01,PG,24,42,26,1196,11.1,25.7,4.7,12.2,6.4,13.5,4.5,5.9,0.6,3.8,9.6,1.8,0.7,4.4,2.7,31.4,,108,117,1
Dakota Mathias\mathida01,SG,25,8,2,123,7.4,18.8,3.1,10.2,4.3,8.6,0.8,2.4,0.4,2.4,5.1,0.4,1.2,0.4,2.7,18.8,,107,114,0
Damian Jones\jonesda03,C,25,39,10,547,6.2,9.1,0.1,0.4,6.1,8.7,3.7,5.1,3.2,7.5,2.6,1,2.6,2.3,6.8,16.2,,129,113,0
Damian Lillard\lillada01,PG,30,67,67,2398,12.2,27.1,5.6,14.3,6.7,12.8,9.1,9.8,0.7,5.1,10.3,1.3,0.3,4.1,2.1,39.2,,125,118,1
Damion Lee\leeda03,SG,28,57,1,1079,5.6,11.9,3.4,8.4,2.2,3.5,1.7,1.9,1,6.9,3.2,1.7,0.3,1.3,3.9,16.2,,121,111,0
Damyean Dotson\dotsoda01,SG,26,46,7,907,6.5,15.9,2.5,8.6,4,7.3,1.3,2,0.3,4.8,4.9,0.9,0.2,2.3,2.3,16.7,,99,118,0
